Master ID,Node ID,cause,Master ID,Node ID,effect,polarity,participant_number,participant_type,version,modification
12,V1_12,Citizen privacy concern,49,V1_49,Privatisation of urban data,positive,1,Citizen,1,
14,V1_14,Commercial value of data,49,V1_49,Privatisation of urban data,positive,1,Citizen,1,
31,V1_31,Legal regulation,49,V1_49,Privatisation of urban data,negative,1,Citizen,1,
12,V1_12,Citizen privacy concern,31,V1_31,Legal regulation,positive,1,Citizen,1,
25,V1_25,Government data use capacity,49,V1_49,Privatisation of urban data,negative,1,Citizen,1,
33,V1_33,Lobby by private interests,14,V1_14,Commercial value of data,positive,1,Citizen,1,
76,V1_76,Technological innovation in data use,14,V1_14,Commercial value of data,positive,1,Citizen,1,
36,V1_36,Need for data insights in government,14,V1_14,Commercial value of data,positive,1,Citizen,1,
36,V1_36,Need for data insights in government,25,V1_25,Government data use capacity,positive,1,Citizen,1,
33,V1_33,Lobby by private interests,25,V1_25,Government data use capacity,negative,1,Citizen,1,
28,V1_28,Imagined fear of data misuse,12,V1_12,Citizen privacy concern,positive,1,Citizen,1,
2,V1_2,Actual misuse of data,28,V1_28,Imagined fear of data misuse,positive,1,Citizen,1,
49,V1_49,Privatisation of urban data,55,V1_55,Public good uses of data,negative,1,Citizen,1,
49,V1_49,Privatisation of urban data,68,V1_68,"Service efficiency, coverage, and performance",negative,1,Citizen,1,
49,V1_49,Privatisation of urban data,27,V1_27,Hoarding data,positive,1,Citizen,1,
27,V1_27,Hoarding data,17,V1_17,Corporate profits,positive,1,Citizen,1,
68,V1_68,"Service efficiency, coverage, and performance",10,V1_10,Citizen buy-in,positive,1,Citizen,1,
55,V1_55,Public good uses of data,10,V1_10,Citizen buy-in,positive,1,Citizen,1,
10,V1_10,Citizen buy-in,12,V1_12,Citizen privacy concern,negative,1,Citizen,1,
17,V1_17,Corporate profits,33,V1_33,Lobby by private interests,positive,1,Citizen,1,
17,V1_17,Corporate profits,76,V1_76,Technological innovation in data use,positive,1,Citizen,1,
36,V1_36,Need for data insights in government,76,V1_76,Technological innovation in data use,positive,1,Citizen,1,
56,V1_56,Public policy tech sector intervention,4,V1_4,Amount of data retained by private enterprises,negative,3,Citizen,1,
9,V1_9,Citizen awareness of data collection,4,V1_4,Amount of data retained by private enterprises,negative,3,Citizen,1,
57,V1_57,Public sector expertise,4,V1_4,Amount of data retained by private enterprises,negative,3,Citizen,1,
50,V1_50,Privatised transport services,4,V1_4,Amount of data retained by private enterprises,positive,3,Citizen,1,
52,V1_52,Pro-private sector data structures,4,V1_4,Amount of data retained by private enterprises,positive,3,Citizen,1,
75,V1_75,Technological convenience,52,V1_52,Pro-private sector data structures,positive,3,Citizen,1,
26,V1_26,Hiring consultants,52,V1_52,Pro-private sector data structures,positive,3,Citizen,1,
57,V1_57,Public sector expertise,26,V1_26,Hiring consultants,negative,3,Citizen,1,
58,V1_58,Public service funding,57,V1_57,Public sector expertise,positive,3,Citizen,1,
62,V1_62,Rate of tech innovation,57,V1_57,Public sector expertise,negative,3,Citizen,1,
62,V1_62,Rate of tech innovation,9,V1_9,Citizen awareness of data collection,negative,3,Citizen,1,
9,V1_9,Citizen awareness of data collection,56,V1_56,Public policy tech sector intervention,positive,3,Citizen,1,
4,V1_4,Amount of data retained by private enterprises,82,V1_82,Violation of contextual integrity,positive,3,Citizen,1,
4,V1_4,Amount of data retained by private enterprises,11,V1_11,Citizen desensitisation to data collection,positive,3,Citizen,1,
4,V1_4,Amount of data retained by private enterprises,59,V1_59,Quality and availability of urban services,positive,3,Citizen,1,
4,V1_4,Amount of data retained by private enterprises,41,V1_41,Pedestrian data models,positive,3,Citizen,1,
4,V1_4,Amount of data retained by private enterprises,39,V1_39,On-selling of de-identified data,positive,3,Citizen,1,
39,V1_39,On-selling of de-identified data,16,V1_16,Corporate data practices,positive,3,Citizen,1,
71,V1_71,Speculation of data as a commodity,16,V1_16,Corporate data practices,positive,3,Citizen,1,
41,V1_41,Pedestrian data models,48,V1_48,Private sector revenue,positive,3,Citizen,1,
48,V1_48,Private sector revenue,71,V1_71,Speculation of data as a commodity,positive,3,Citizen,1,
48,V1_48,Private sector revenue,16,V1_16,Corporate data practices,positive,3,Citizen,1,
48,V1_48,Private sector revenue,74,V1_74,Tech investment,positive,3,Citizen,1,
48,V1_48,Private sector revenue,34,V1_34,Lobbying,positive,3,Citizen,1,
39,V1_39,On-selling of de-identified data,48,V1_48,Private sector revenue,positive,3,Citizen,1,
16,V1_16,Corporate data practices,75,V1_75,Technological convenience,positive,3,Citizen,1,
34,V1_34,Lobbying,50,V1_50,Privatised transport services,positive,3,Citizen,1,
74,V1_74,Tech investment,63,V1_63,Rate of technological innovation,positive,3,Citizen,1,
61,V1_61,Quality of services,5,V1_5,Amount of urban data retained by private entities,positive,4,Citizen,1,
80,V1_80,Trust by people,5,V1_5,Amount of urban data retained by private entities,positive,4,Citizen,1,
21,V1_21,Enforcement of people-centred data related regulations,5,V1_5,Amount of urban data retained by private entities,negative,4,Citizen,1,
77,V1_77,Technology adoption,5,V1_5,Amount of urban data retained by private entities,positive,4,Citizen,1,
38,V1_38,Need for services,5,V1_5,Amount of urban data retained by private entities,positive,4,Citizen,1,
72,V1_72,State surveillance,5,V1_5,Amount of urban data retained by private entities,positive,4,Citizen,1,
38,V1_38,Need for services,77,V1_77,Technology adoption,positive,4,Citizen,1,
60,V1_60,Quality of life,38,V1_38,Need for services,positive,4,Citizen,1,
38,V1_38,Need for services,32,V1_32,Level of technology advancement,positive,4,Citizen,1,
32,V1_32,Level of technology advancement,38,V1_38,Need for services,positive,4,Citizen,1,
47,V1_47,Privacy concerns,21,V1_21,Enforcement of people-centred data related regulations,positive,4,Citizen,1,
79,V1_79,Transparency of data collection and use,80,V1_80,Trust by people,positive,4,Citizen,1,
21,V1_21,Enforcement of people-centred data related regulations,80,V1_80,Trust by people,positive,4,Citizen,1,
37,V1_37,Need for profit,61,V1_61,Quality of services,negative,4,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,61,V1_61,Quality of services,positive,4,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,67,V1_67,Security risks,positive,4,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,40,V1_40,Optimising services,positive,4,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,15,V1_15,Commercialisation of data,positive,4,Citizen,1,
67,V1_67,Security risks,18,V1_18,Data leakage,positive,4,Citizen,1,
18,V1_18,Data leakage,42,V1_42,Penalty,positive,4,Citizen,1,
42,V1_42,Penalty,51,V1_51,Profit,Negative,4,Citizen,1,
15,V1_15,Commercialisation of data,51,V1_51,Profit,positive,4,Citizen,1,
40,V1_40,Optimising services,51,V1_51,Profit,positive,4,Citizen,1,
51,V1_51,Profit,29,V1_29,Investment in services,positive,4,Citizen,1,
29,V1_29,Investment in services,61,V1_61,Quality of services,positive,4,Citizen,1,
15,V1_15,Commercialisation of data,80,V1_80,Trust by people,negative,4,Citizen,1,
22,V1_22,Engagement with public transport,5,V1_5,Amount of urban data retained by private entities,positive,5,Citizen,1,
70,V1_70,Social media,5,V1_5,Amount of urban data retained by private entities,positive,5,Citizen,1,
66,V1_66,Reward systems,5,V1_5,Amount of urban data retained by private entities,positive,5,Citizen,1,
65,V1_65,Regulation,5,V1_5,Amount of urban data retained by private entities,negative,5,Citizen,1,
35,V1_35,Money donations to public entities,65,V1_65,Regulation,negative,5,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,54,V1_54,Providing consumer wants and needs,positive,5,Citizen,1,
54,V1_54,Providing consumer wants and needs,5,V1_5,Amount of urban data retained by private entities,positive,5,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,7,V1_7,Anonymity,negative,5,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,73,V1_73,Targeted advertising,negative,5,Citizen,1,
7,V1_7,Anonymity,73,V1_73,Targeted advertising,negative,5,Citizen,1,
73,V1_73,Targeted advertising,20,V1_20,Empowerment of vulnerable groups,negative,5,Citizen,1,
54,V1_54,Providing consumer wants and needs,66,V1_66,Reward systems,positive,5,Citizen,1,
7,V1_7,Anonymity,53,V1_53,Protection of the most vulnerable,positive,5,Citizen,1,
5,V1_5,Amount of urban data retained by private entities,6,V1_6,Amount of urban data retained by public entities,?,5,Citizen,1,
6,V1_6,Amount of urban data retained by public entities,3,V1_3,Allocating funding for public services,positive,5,Citizen,1,
