Master ID,Node ID,cause,Master ID,Node ID,effect,polarity,participant_number,participant_type,version,source_color,target_color,link_color,Color,Comment
127,V2_44,Privacy concerns,94,V2_11,Data retained by private entities,positive,1,Citizen,2,0,0,0,,
87,V2_4,Commercial value of data,94,V2_11,Data retained by private entities,positive,1,Citizen,2,0,0,0,,
108,V2_25,Level of regulation,94,V2_11,Data retained by private entities,negative,1,Citizen,2,0,0,0,,
127,V2_44,Privacy concerns,108,V2_25,Level of regulation,positive,1,Citizen,2,0,0,0,,
133,V2_50,Public sector expertise,94,V2_11,Data retained by private entities,negative,1,Citizen,2,2,2,2,red,relationship needs clarification
112,V2_29,Lobbying,87,V2_4,Commercial value of data,positive,1,Citizen,2,2,2,2,red,relationship needs clarification
109,V2_26,Level of technological advancement,87,V2_4,Commercial value of data,positive,1,Citizen,2,0,0,0,,
113,V2_30,Need for data insights in government,87,V2_4,Commercial value of data,positive,1,Citizen,2,0,0,0,,
113,V2_30,Need for data insights in government,133,V2_50,Public sector expertise,positive,1,Citizen,2,0,0,0,,
112,V2_29,Lobbying,133,V2_50,Public sector expertise,negative,1,Citizen,2,2,2,2,red,relationship needs clarification
123,V2_40,Perceived misuse of data,127,V2_44,Privacy concerns,positive,1,Citizen,2,0,0,0,,
101,V2_18,Events of data misuse,123,V2_40,Perceived misuse of data,positive,1,Citizen,2,0,0,0,,
94,V2_11,Data retained by private entities,111,V2_28,Likelihood of using data for public good,negative,1,Citizen,2,0,0,0,,
94,V2_11,Data retained by private entities,137,V2_54,Quality of services,?,1,Citizen,2,0,0,3,cyan,conflict
94,V2_11,Data retained by private entities,85,V2_2,Amount of horaded data,positive,1,Citizen,2,0,0,0,,
85,V2_2,Amount of horaded data,89,V2_6,Commodification of data,positive,1,Citizen,2,0,1,0,blue,added variabe
137,V2_54,Quality of services,122,V2_39,Perceived level of technological convenience,positive,1,Citizen,2,0,0,0,,
111,V2_28,Likelihood of using data for public good,106,V2_23,Level of citizen sensitisation,positive,1,Citizen,2,0,0,0,,
106,V2_23,Level of citizen sensitisation,127,V2_44,Privacy concerns,negative,1,Citizen,2,0,0,0,,
128,V2_45,Private sector revenue,112,V2_29,Lobbying,positive,1,Citizen,2,0,0,0,,
128,V2_45,Private sector revenue,109,V2_26,Level of technological advancement,positive,1,Citizen,2,0,0,0,,
113,V2_30,Need for data insights in government,109,V2_26,Level of technological advancement,positive,1,Citizen,2,0,0,0,,
94,V2_11,Data retained by private entities,86,V2_3,Availability of services,?,1,Citizen,2,0,0,3,cyan,conflict
86,V2_3,Availability of services,122,V2_39,Perceived level of technological convenience,positive,1,Citizen,2,0,1,0,blue,added variabe
122,V2_39,Perceived level of technological convenience,106,V2_23,Level of citizen sensitisation,negative,1,Citizen,2,1,0,0,blue,added variabe
89,V2_6,Commodification of data,128,V2_45,Private sector revenue,positive,1,Citizen,2,1,0,0,blue,added variabe
89,V2_6,Commodification of data,111,V2_28,Likelihood of using data for public good,negative,1,Citizen,2,1,0,0,blue,added variabe
135,V2_52,Public sector intervention,94,V2_11,Data retained by private entities,negative,3,Citizen,2,0,0,0,,
105,V2_22,Level of citizen awareness,106,V2_23,Level of citizen sensitisation,positive,3,Citizen,2,0,0,1,blue,added link
106,V2_23,Level of citizen sensitisation,95,V2_12,Data subject interventions,positive,3,Citizen,2,0,1,0,blue,added variable
106,V2_23,Level of citizen sensitisation,135,V2_52,Public sector intervention,positive,3,Citizen,2,0,0,0,,
95,V2_12,Data subject interventions,94,V2_11,Data retained by private entities,negative,3,Citizen,2,1,0,0,blue,added variable
133,V2_50,Public sector expertise,94,V2_11,Data retained by private entities,negative,3,Citizen,2,2,2,2,red,relationship needs clarification
130,V2_47,Privatisation of urban services,94,V2_11,Data retained by private entities,positive,3,Citizen,2,0,0,0,,
131,V2_48,Promotion of pro-private data collection schemes,94,V2_11,Data retained by private entities,positive,3,Citizen,2,0,0,0,,
130,V2_47,Privatisation of urban services,131,V2_48,Promotion of pro-private data collection schemes,positive,3,Citizen,2,0,0,1,blue,added link
107,V2_24,Level of convenience achieved by reproducing the status quo,131,V2_48,Promotion of pro-private data collection schemes,positive,3,Citizen,2,1,0,0,blue,added variable
140,V2_57,Recruitment of consultancy firms,131,V2_48,Promotion of pro-private data collection schemes,positive,3,Citizen,2,0,0,0,,
133,V2_50,Public sector expertise,140,V2_57,Recruitment of consultancy firms,negative,3,Citizen,2,0,0,0,,
134,V2_51,Public sector funding,133,V2_50,Public sector expertise,positive,3,Citizen,2,0,0,0,,
109,V2_26,Level of technological advancement,133,V2_50,Public sector expertise,negative,3,Citizen,2,0,0,0,,
